id,title,category,price,stock,description
1,現代数学の基礎入門,数学新書,1980,45,大学1年生向けの数学基礎教科書。集合論から始まり、線形代数、微積分まで丁寧に解説。例題も充実しており、独学でも理解しやすい構成。
2,歴史で読み解く日本の古代,歴史新書,1580,32,縄文時代から平安時代までの日本の歴史を最新の研究成果を交えて解説。考古学的発見と文献史料を組み合わせた新しい古代史観を提示。
3,量子力学への第一歩,物理新書,2200,28,高校物理の知識があれば読める量子力学入門書。シュレーディンガー方程式までの道のりを、豊富な図解とともにわかりやすく説明。
4,生命科学の最前線,生物新書,1780,38,ゲノム編集からAIを活用した創薬まで、現代の生命科学研究の最新トピックスを一般読者向けにまとめた一冊。
5,経済学の基本思考,経済新書,1680,42,ミクロ経済学とマクロ経済学の基礎を、身近な例を用いて解説。経済ニュースの理解に役立つ実践的な知識も満載。
6,プログラミング思考入門,工学新書,2100,35,プログラミングの基本概念を学べる入門書。アルゴリズムの考え方から始まり、実践的なコーディング技法まで段階的に習得できる。
7,心理学で解く人間関係,心理新書,1480,50,対人関係や組織での振る舞いを心理学の視点から解説。実生活での応用方法も豊富に紹介し、より良い人間関係構築をサポート。
8,世界の環境問題,環境新書,1880,40,気候変動から生物多様性の損失まで、地球規模の環境問題を科学的データに基づいて解説。持続可能な社会への提言も収録。
9,哲学入門：思考の冒険,哲学新書,1580,45,古代ギリシャから現代思想まで、西洋哲学の主要な潮流をわかりやすく解説。現代社会の諸問題への応用も考察。
10,化学反応のしくみ,化学新書,1980,33,高校化学の復習から始まり、大学レベルの反応機構まで段階的に解説。有機化学・無機化学の基礎が一冊で学べる。
11,宇宙の謎に迫る,天文新書,2150,38,最新の宇宙観測データをもとに、宇宙の起源から現在までを解説。ブラックホールや暗黒物質など最先端の天体物理学も紹介。
12,日本語の歴史と変遷,言語新書,1680,42,上代から現代までの日本語の変遷を豊富な用例とともに解説。方言や外来語の影響など、言語学的視点から分析。
13,統計学のエッセンス,統計新書,1880,35,データ分析の基礎となる統計学の考え方を解説。実践的な例題を通じて、統計的思考法が身につく構成。
14,政治学の基礎知識,政治新書,1780,40,民主主義の理論から現代の政治制度まで、政治学の基本を体系的に解説。国際政治の動向分析も収録。
15,地球科学への招待,地学新書,1980,36,プレートテクトニクスから気象現象まで、地球の営みを科学的に解説。環境問題との関連も詳しく紹介。
16,世界の宗教と文化,宗教新書,1680,45,主要な宗教の教義や歴史を比較文化的視点から解説。現代社会における宗教の役割についても考察。
17,芸術理論入門,芸術新書,1780,38,古典から現代アートまで、芸術理論の変遷を豊富な図版とともに解説。作品鑑賞の新しい視点を提供。
18,考古学の世界,考古新書,2080,32,最新の発掘調査手法と研究成果を紹介。DNA分析など科学的手法を用いた現代考古学の最前線をわかりやすく解説。
19,法学の基本概念,法律新書,1980,40,法律の基礎から憲法、民法、刑法まで、法学の重要概念をわかりやすく解説。判例も交えた実践的な入門書。
20,情報社会の未来,情報新書,2200,35,AI、ビッグデータ、IoTなど、最新のIT技術が社会に与える影響を分析。今後の展望と課題を考察。
21,生物多様性の世界,生態新書,1880,38,地球上の様々な生態系と生物の関係性を解説。絶滅危惧種の保護など、保全生物学の知見も紹介。
22,脳科学のフロンティア,医学新書,2150,32,最新の脳科学研究の成果をわかりやすく解説。意識や記憶のメカニズム、脳の可塑性について詳しく紹介。
23,社会学の視点,社会新書,1780,42,現代社会の諸問題を社会学的視点から分析。家族、教育、労働など身近なテーマを理論的に考察。
24,日本美術の歴史,美術新書,1980,35,縄文時代から現代まで、日本美術の流れを豊富な図版とともに解説。各時代の代表的作品を詳しく紹介。
25,数理論理学入門,論理新書,2080,30,論理学の基礎から数理論理学の発展まで、段階的に解説。計算機科学との関連にも触れた本格的入門書。
